"title_on_channel","sku_id","url_on_channel","url_on_channel"
"Renka Black Acrylic Pullovers",1037687,"http://www.flipkart.com/item/PLOEBP45G5QWUDP4","http://www.snapdeal.com/product/page/619979147778"
"Renka Black Acrylic Pullovers",1037684,"http://www.flipkart.com/item/PLOEBP46C2A9BDBU","http://www.snapdeal.com/product/page/619979147778"
"Renka Blue Acrylic Pullovers",1037822,"http://www.flipkart.com/item/PLOEBP45HCXFVYFG","http://www.snapdeal.com/product/page/686647548889"
"Renka Brown Acrylic Pullovers",1037804,"http://www.flipkart.com/item/PLOEBP45QTMRC3ZG","http://www.snapdeal.com/product/page/671005298753"
"Renka Blue Acrylic Pullovers",1037718,"http://www.flipkart.com/item/PLOEBP45THBCAKCT","http://www.snapdeal.com/product/page/660981005495"
"Renka Ghostwhite Acrylic Pullovers",1037678,"http://www.flipkart.com/item/PLOEBP45TGFHJBTZ","http://www.snapdeal.com/product/page/621780761438"
"Renka Maroon Acrylic Pullovers",1037692,"http://www.flipkart.com/item/PLOEBP45YPZ2AATQ","http://www.snapdeal.com/product/page/624952762308"
"Renka Black Acrylic Pullovers",1037819,"http://www.flipkart.com/item/PLOEBP45TGR575CV","http://www.snapdeal.com/product/page/654651496422"
"Renka Blue Acrylic Pullovers",1037716,"http://www.flipkart.com/item/PLOEBP45CJQNUBEM","http://www.snapdeal.com/product/page/660981005495"
"Renka Black Acrylic Pullovers",1037817,"http://www.flipkart.com/item/PLOEBP45YNQHN38G","http://www.snapdeal.com/product/page/654651496422"
"Renka Red Cotton Blend Pullovers",1038127,"http://www.flipkart.com/item/PLOEBP45NK4ZDPUR","http://www.snapdeal.com/product/page/648213337"
"Renka Red Cotton Blend Pullovers",1038127,"http://www.flipkart.com/item/PLOEBP45NK4ZDPUR","http://www.snapdeal.com/product/page/284248277"
"Renka Ghostwhite Acrylic Pullovers",1037811,"http://www.flipkart.com/item/PLOEBP456YK52BKH","http://www.snapdeal.com/product/page/662064064962"
"Renka White Woollen Shrugs",1038286,"http://www.flipkart.com/item/RUGEBP9MPZSFGWYF","http://www.snapdeal.com/product/page/647613732441"
"Renka White Woollen Shrugs",1038287,"http://www.flipkart.com/item/RUGEBP9MFQKQYZY9","http://www.snapdeal.com/product/page/653515381460"
"Renka Black Acrylic Pullovers",1037814,"http://www.flipkart.com/item/PLOEBP45HHCXGUZG","http://www.snapdeal.com/product/page/654651496422"
"Renka Black Acrylic Pullovers",1037089,"http://www.flipkart.com/item/PLOEBJ72DQ9YGTWA","http://www.snapdeal.com/product/page/651242164508"
"Renka Black Acrylic Pullovers",1037870,"http://www.flipkart.com/item/TOPEBJJP8ZSHFUPM","http://www.snapdeal.com/product/page/675206943732"
"Renka Black Acrylic Pullovers",1037090,"http://www.flipkart.com/item/PLOEBJ72GCHEVPDZ","http://www.snapdeal.com/product/page/651242164508"
"Renka Red Acrylic Pullovers",1037093,"http://www.flipkart.com/item/PLOEBJ72ZR8RYCCX","http://www.snapdeal.com/product/page/677398836605"
"Renka Black Acrylic Pullovers",1037795,"http://www.flipkart.com/item/TOPEBKNP6JV7JHHY","http://www.snapdeal.com/product/page/636825495911"
"Renka Black Acrylic Pullovers",1037793,"http://www.flipkart.com/item/TOPEBKNPMGVBWYZV","http://www.snapdeal.com/product/page/636825495911"
"Renka Pink Acrylic Pullovers",1037770,"http://www.flipkart.com/item/TOPEBKNQUQHKQZV3","http://www.snapdeal.com/product/page/663843212143"
"Renka Black Cotton Blend Buttoned Cardigans",1038231,"http://www.flipkart.com/item/CGNEBFB9WGUUAZZN","http://www.snapdeal.com/product/page/627814334800"
"Renka Gray Cotton Blend Buttoned Cardigans",1038165,"http://www.flipkart.com/item/CGNEBFB969Z7V29Q","http://www.snapdeal.com/product/page/655112987505"
"Renka Red Cotton Blend Buttoned Cardigans",1038238,"http://www.flipkart.com/item/CGNEBFB9HCMEGA5Q","http://www.snapdeal.com/product/page/638912476453"
"Renka Pink Cotton Blend Buttoned Cardigans",1038189,"http://www.flipkart.com/item/CGNEBG5G2X4MQRHM","http://www.snapdeal.com/product/page/682365921103"
"Renka Black Acrylic Pullovers",1036266,"http://www.flipkart.com/item/PLOEB32UGGNSUBAE","http://www.snapdeal.com/product/page/660941530289"
"Renka Orange Acrylic Pullovers",1036340,"http://www.flipkart.com/item/PLOEB32TMDCZKCKZ","http://www.snapdeal.com/product/page/680811757195"
"Renka Orange Acrylic Pullovers",1036215,"http://www.flipkart.com/item/PLOEB32TYEGRJWVX","http://www.snapdeal.com/product/page/652997883626"
"Renka Orange Acrylic Pullovers",1036217,"http://www.flipkart.com/item/PLOEB32TCFWSZQE2","http://www.snapdeal.com/product/page/652997883626"
"Renka Maroon Acrylic Pullovers",1036201,"http://www.flipkart.com/item/PLOEB32TWMKEPCSJ","http://www.snapdeal.com/product/page/674823956846"
"Renka Maroon Acrylic Pullovers",1036454,"http://www.flipkart.com/item/PLOEB32TKJPW7HW5","http://www.snapdeal.com/product/page/685068398896"
"Renka Navy Acrylic Pullovers",1036246,"http://www.flipkart.com/item/PLOEB32TQHBRH27H","http://www.snapdeal.com//product/renka-purple-acrylic-pullovers/653680931633"
"Renka Purple Cotton Blend Skivvy",1036246,"http://www.flipkart.com/item/PLOEB32TQHBRH27H","http://www.snapdeal.com/product/page/1639364471"
"Renka Orange Acrylic Pullovers",1036216,"http://www.flipkart.com/item/PLOEB32THX2PFJDN","http://www.snapdeal.com/product/page/652997883626"
"Renka Red Acrylic Pullovers",1036440,"http://www.flipkart.com/item/PLOEB32TQ9UPZDWG","http://www.snapdeal.com/product/page/650151916648"
"Renka Blue Acrylic Pullovers",1036237,"http://www.flipkart.com/item/PLOEB32TMQNF9UFR","http://www.snapdeal.com/product/page/619875368861"
"Renka Green Acrylic Pullovers",1036186,"http://www.flipkart.com/item/PLOEB32TZNSGXMPG","http://www.snapdeal.com//product/renka-green-acrylic-pullovers/661955388268"
"Renka Green Cotton Blend Skivvy",1036186,"http://www.flipkart.com/item/PLOEB32TZNSGXMPG","http://www.snapdeal.com/product/page/1287968953"
"Renka Black Acrylic Pullovers",1036610,"http://www.flipkart.com/item/PLOEB32TVQYK93XR","http://www.snapdeal.com/product/page/624313765062"
"Renka Black Acrylic Pullovers",1036268,"http://www.flipkart.com/item/PLOEB32UTKJKTGJV","http://www.snapdeal.com/product/page/660941530289"
"Renka Maroon Acrylic Pullovers",1036455,"http://www.flipkart.com/item/PLOEB32TSYEUTZYG","http://www.snapdeal.com/product/page/685068398896"
"Renka Orange Acrylic Pullovers",1036339,"http://www.flipkart.com/item/PLOEB32TXHJT3BZA","http://www.snapdeal.com/product/page/680811757195"
"Renka Pink Acrylic Pullovers",1036222,"http://www.flipkart.com/item/PLOEB32TWNF3ZAQJ","http://www.snapdeal.com//product/renka-pink-acrylic-pullovers/683796243568"
"Renka Pink Cotton Blend Skivvy",1036222,"http://www.flipkart.com/item/PLOEB32TWNF3ZAQJ","http://www.snapdeal.com/product/page/736846700"
"Renka Purple Acrylic Pullovers",1036526,"http://www.flipkart.com/item/PLOEB32T7PQWV6ZX","http://www.snapdeal.com/product/page/670976119735"
"Renka Black Acrylic Pullovers",1036269,"http://www.flipkart.com/item/PLOEB32TZYBYTK2U","http://www.snapdeal.com/product/page/660941530289"
"Renka Orange Acrylic Pullovers",1036466,"http://www.flipkart.com/item/PLOEB32TZUBHJJTA","http://www.snapdeal.com/product/page/620914017577"
"Renka Pink Acrylic Pullovers",1036220,"http://www.flipkart.com/item/PLOEB32TTSXWGJZZ","http://www.snapdeal.com/product/page/683796243568"
"Renka Blue Acrylic Pullovers",1036179,"http://www.flipkart.com/item/PLOEB32TMTZN3MDH","http://www.snapdeal.com/product/page/618511057542"
"Renka Pink Acrylic Pullovers",1036351,"http://www.flipkart.com/item/PLOEB32TKHH7CARC","http://www.snapdeal.com/product/page/678562494291"
"Renka Orange Acrylic Pullovers",1036467,"http://www.flipkart.com/item/PLOEB32TZAVRYEVW","http://www.snapdeal.com/product/page/620914017577"
"Renka Purple Acrylic Pullovers",1036273,"http://www.flipkart.com/item/PLOEB32THCBFRE2D","http://www.snapdeal.com/product/page/620839526483"
"Renka Blue Acrylic Pullovers",1036178,"http://www.flipkart.com/item/PLOEB32TWGHC4JTS","http://www.snapdeal.com/product/page/618511057542"
"Renka Purple Acrylic Pullovers",1036257,"http://www.flipkart.com/item/PLOEB32TFRHBG8JH","http://www.snapdeal.com//product/renka-purple-acrylic-pullovers/623306722105"
"Renka Purple Cotton Blend Skivvy",1036257,"http://www.flipkart.com/item/PLOEB32TFRHBG8JH","http://www.snapdeal.com/product/page/1773040802"
"Renka Pink Acrylic Pullovers",1036478,"http://www.flipkart.com/item/PLOEB32TDFF3HRTR","http://www.snapdeal.com/product/page/670258366244"
"Renka Purple Acrylic Pullovers",1036275,"http://www.flipkart.com/item/PLOEB32TRB9ZYBY2","http://www.snapdeal.com/product/page/620839526483"
"Renka Orange Acrylic Pullovers",1036214,"http://www.flipkart.com/item/PLOEB32TBTHG5DKN","http://www.snapdeal.com/product/page/652997883626"
"Renka Blue Acrylic Pullovers",1036239,"http://www.flipkart.com/item/PLOEB32T24THDQ7N","http://www.snapdeal.com//product/renka-blue-acrylic-pullovers/619875368861"
"Renka Blue Cotton Blend Skivvy",1036239,"http://www.flipkart.com/item/PLOEB32T24THDQ7N","http://www.snapdeal.com/product/page/265509488"
"Renka Pink Acrylic Pullovers",1036354,"http://www.flipkart.com/item/PLOEB32TG96TFDCC","http://www.snapdeal.com/product/page/678562494291"
"Renka Pink Cotton Blend Skivvy",1036354,"http://www.flipkart.com/item/PLOEB32TG96TFDCC","http://www.snapdeal.com/product/page/1219012698"
"Renka Blue Acrylic Pullovers",1036366,"http://www.flipkart.com/item/PLOEB32T7AHEMUHX","http://www.snapdeal.com/product/page/674250778356"
"Renka Blue Cotton Blend Skivvy",1036366,"http://www.flipkart.com/item/PLOEB32T7AHEMUHX","http://www.snapdeal.com/product/page/550841734"
"Renka Purple Acrylic Pullovers",1036274,"http://www.flipkart.com/item/PLOEB32TGRDBJGFX","http://www.snapdeal.com/product/page/620839526483"
"Renka Gray Acrylic Pullovers",1036424,"http://www.flipkart.com/item/PLOEB56UFHKYC5GB","http://www.snapdeal.com/product/page/625703906597"
"Renka Purple Cotton Blend Pullovers",657501,"http://www.flipkart.com/item/PLOEY7H4VNHZPTEF","http://www.snapdeal.com/product/page/2039188531"
"Renka Maroon Cotton Blend Pullovers",657501,"http://www.flipkart.com/item/PLOEY7H4VNHZPTEF","http://www.snapdeal.com/product/page/1302071483"
"Renka Gray Cotton Blend Skivvy",657487,"http://www.flipkart.com/item/PLODZYXFKXBZXK4T","http://www.snapdeal.com/product/page/752635143"
"Renka Purple Cotton Blend Pullovers",657489,"http://www.flipkart.com/item/PLOEY7H4YGBM3NY9","http://www.snapdeal.com/product/page/1424565188"
"Renka Black Acrylic Buttoned Cardigans",1036580,"http://www.flipkart.com/item/CGNEB3UZ5ZZ2NFMG","http://www.snapdeal.com/product/page/682737371930"
"Renka Pink Acrylic Pullovers",1036837,"http://www.flipkart.com/item/PLOEBJ72ZHHQBFEY","http://www.snapdeal.com/product/page/662309441116"
"Renka White Crepe Jumpsuits",839930,"http://www.flipkart.com/item/JUMEABUEZXACT6XY","http://www.snapdeal.com/product/page/636889599150"
"Renka Black Acrylic Pullovers",1036847,"http://www.flipkart.com/item/PLOEBJ72VEUQF9FS","http://www.snapdeal.com/product/page/636399088965"
"Renka Blue Acrylic Buttoned Cardigans",1036591,"http://www.flipkart.com/item/CGNEB3UZTY7BTCFN","http://www.snapdeal.com/product/page/682714500230"
"Renka Pink Cotton Blend Pullovers",657547,"http://www.flipkart.com/item/PLOEY7H4GBH6YA9K","http://www.snapdeal.com/product/page/1274630818"
"Renka Purple Cotton Blend Pullovers",657462,"http://www.flipkart.com/item/PLOEY7H4AT8YDH4G","http://www.snapdeal.com/product/page/2039188531"
"Renka Blue Crepe Jumpsuits",839924,"http://www.flipkart.com/item/JUMEABUEKEYADXBW","http://www.snapdeal.com/product/page/628477763903"
"Renka White Cotton Blend Pullovers",1447284,"http://www.flipkart.com/item/PLOEBZW9JWY3EWJR","http://www.snapdeal.com/product/page/629244067771"
"Renka Red Acrylic Ponchos & Capes",1037200,"http://www.flipkart.com/item/PONEC896BP2RZCDG","http://www.snapdeal.com/product/page/652848904397"
"Renka Maroon Acrylic Ponchos & Capes",1037205,"http://www.flipkart.com/item/PONEC8967NN2BVWP","http://www.snapdeal.com/product/page/662952486935"
"Renka Blue Acrylic Ponchos & Capes",1037203,"http://www.flipkart.com/item/PONEC896MJ6USKWY","http://www.snapdeal.com/product/page/619197016033"
"Renka Black Acrylic Ponchos & Capes",1037204,"http://www.flipkart.com/item/PONEC896FFBUB3GH","http://www.snapdeal.com/product/page/677607879055"
"Renka Green Acrylic Ponchos & Capes",1503073,"http://www.flipkart.com/item/PONEC896FQ6XBHMF","http://www.snapdeal.com/product/page/669686292855"
"Renka Black Acrylic Kurti",1036741,"http://www.flipkart.com/item/KRTECGFUXGHW3FMJ","http://www.snapdeal.com/product/page/621257112754"
"Renka Purple Acrylic Kurti",1037070,"http://www.flipkart.com/item/KRTECGFUZMTPZBMF","http://www.snapdeal.com/product/page/671177634700"
"Renka Ghostwhite Acrylic Pullovers",1036544,"http://www.flipkart.com/item/PLOEB32TCGBHJDC8","http://www.snapdeal.com/product/page/631210987655"
"Renka Gray Acrylic Pullovers",1037799,"http://www.flipkart.com/item/PLOEBP46CYTCNXBY","http://www.snapdeal.com/product/page/627616350837"
"Renka Green Acrylic Pullovers",1036860,"http://www.flipkart.com/item/PLOEBJ72EYMKFBAB","http://www.snapdeal.com/product/page/637771465581"
"Renka Pink Acrylic Pullovers",1036221,"http://www.flipkart.com/item/PLOEB32TXFWFZTQT","http://www.snapdeal.com/product/page/683796243568"
"Renka Turquoise Cotton Blend Buttoned Cardigans",1038172,"http://www.flipkart.com/item/CGNEBFBADVWZW3MZ","http://www.snapdeal.com/product/page/657992304194"
"Renka Blue Acrylic Pullovers",1037823,"http://www.flipkart.com/item/PLOEBP45TPDZM3H7","http://www.snapdeal.com/product/page/686647548889"
"Renka Pink Cotton Blend Buttoned Cardigans",1038182,"http://www.flipkart.com/item/CGNEBG5GU8BD4ZHC","http://www.snapdeal.com/product/page/642488229308"
"Renka Pink Acrylic Pullovers",1037914,"http://www.flipkart.com/item/TOPEBJJPRSTZBPTP","http://www.snapdeal.com/product/page/618865169906"
"Renka Black Cotton Blend Pullovers",1038122,"http://www.flipkart.com/item/PLOEBP45NNNRQJUC","http://www.snapdeal.com/product/page/1542408975"
"Renka Black Cotton Blend Pullovers",1038122,"http://www.flipkart.com/item/PLOEBP45NNNRQJUC","http://www.snapdeal.com/product/page/462838880"
"Renka Black Cotton Blend Pullovers",1037381,"http://www.flipkart.com/item/PLOEBJ72XH9KFTA8","http://www.snapdeal.com/product/page/649486128034"
"Renka Black Cotton Blend Pullovers",1037381,"http://www.flipkart.com/item/PLOEBJ72XH9KFTA8","http://www.snapdeal.com/product/page/364050197"
"Renka White Cotton Blend Buttoned Cardigans",1038159,"http://www.flipkart.com/item/CGNEBFB9ZZCE5SSJ","http://www.snapdeal.com/product/page/660321418669"
"Renka Turquoise Cotton Blend Buttoned Cardigans",1038170,"http://www.flipkart.com/item/CGNEBFBASFGG7AA2","http://www.snapdeal.com/product/page/657992304194"
"Renka Purple Acrylic Pullovers",1037924,"http://www.flipkart.com/item/TOPEBJJZXYPGQ944","http://www.snapdeal.com/product/page/651014714144"
"Renka Beige Acrylic Pullovers",1036263,"http://www.flipkart.com/item/PLOEB32UVFEQSWVZ","http://www.snapdeal.com/product/page/620110998950"
"Renka Beige Cotton Blend Skivvy",1036263,"http://www.flipkart.com/item/PLOEB32UVFEQSWVZ","http://www.snapdeal.com/product/page/646666653"
"Renka Orange Cotton Blend Buttoned Cardigans",1038207,"http://www.flipkart.com/item/CGNEBFBBGPFNFY2H","http://www.snapdeal.com/product/page/679083991900"
"Renka Black Acrylic Pullovers",1036271,"http://www.flipkart.com/item/PLOEB32TWBG9FRAH","http://www.snapdeal.com/product/page/660941530289"
"Renka Pink Acrylic Pullovers",1037909,"http://www.flipkart.com/item/TOPEBJJPQNRWAQYB","http://www.snapdeal.com/product/page/618865169906"
"Renka Purple Acrylic Pullovers",1037098,"http://www.flipkart.com/item/PLOEBJ72AEYHBDMN","http://www.snapdeal.com/product/page/632665016194"
"Renka Black Acrylic Buttoned Cardigans",1036579,"http://www.flipkart.com/item/CGNEB3UZZCQZZTT4","http://www.snapdeal.com/product/page/682737371930"
"Renka Black Cotton Blend Pullovers",1037380,"http://www.flipkart.com/item/PLOEBJ72ZAHGNUBG","http://www.snapdeal.com/product/page/649486128034"
"Renka Black Acrylic Pullovers",1037686,"http://www.flipkart.com/item/PLOEBP45HMHEP8WZ","http://www.snapdeal.com/product/page/619979147778"
"Renka Brown Acrylic Pullovers",1037712,"http://www.flipkart.com/item/PLOEBP45SSQZFGZ6","http://www.snapdeal.com/product/page/643558366726"
"Renka Maroon Acrylic Pullovers",1037691,"http://www.flipkart.com/item/PLOEBP45HEPT2NBM","http://www.snapdeal.com/product/page/624952762308"
"Renka Blue Acrylic Pullovers",1037715,"http://www.flipkart.com/item/PLOEBP45JGNVRMSG","http://www.snapdeal.com/product/page/660981005495"
"Renka Brown Acrylic Pullovers",1037711,"http://www.flipkart.com/item/PLOEBP45ZDAG6GFE","http://www.snapdeal.com/product/page/643558366726"
"Renka Purple Acrylic Pullovers",1037657,"http://www.flipkart.com/item/PLOEBP45G6GEGDVD","http://www.snapdeal.com/product/page/638356857241"
"Renka Purple Acrylic Pullovers",1036509,"http://www.flipkart.com/item/PLOEB32TJKEYAWMZ","http://www.snapdeal.com/product/page/683131452134"
"Renka Maroon Acrylic Pullovers",1037690,"http://www.flipkart.com/item/PLOEBP46ZRHAGXPJ","http://www.snapdeal.com/product/page/624952762308"
"Renka Orange Cotton Blend Skivvy",657528,"http://www.flipkart.com/item/PLODZYXFZTZJ3TRS","http://www.snapdeal.com/product/page/1501963947"
"Renka Blue Acrylic Buttoned Cardigans",1036607,"http://www.flipkart.com/item/CGNEB3UZZ5JUSVRA","http://www.snapdeal.com/product/page/682071998442"
"Renka Black Acrylic Pullovers",1036613,"http://www.flipkart.com/item/PLOEB32TR8HCVGJP","http://www.snapdeal.com/product/page/624313765062"
"Renka Black Acrylic Pullovers",1036848,"http://www.flipkart.com/item/PLOEBJ72G9Z7YV9W","http://www.snapdeal.com/product/page/636399088965"
"Renka Cream Lycra Cotton Comfortable Tank Top For Women",561086,"http://www.flipkart.com/item/CSPE7JHG9MRZJW2X","http://www.snapdeal.com/product/page/641001171858"
"Renka Black Acrylic Pullovers",1037091,"http://www.flipkart.com/item/PLOEBJ72ADQAP4QJ","http://www.snapdeal.com/product/page/651242164508"
"Renka Black Cotton Blend Skivvy",657484,"http://www.flipkart.com/item/PLODZYXFGQYHPYFE","http://www.snapdeal.com/product/page/1421689129"
"Renka Black Cotton Blend Pullovers",1037597,"http://www.flipkart.com/item/PLOECRY792DBMD46","http://www.snapdeal.com/product/page/1824561624"
"Renka Black Cotton Blend Pullovers",1037597,"http://www.flipkart.com/item/PLOECRY792DBMD46","http://www.snapdeal.com//product/renka-black-knitted-winter-pullover/246641615"
"Renka Pink Acrylic Pullovers",1037698,"http://www.flipkart.com/item/PLOEBP458BEZUEUY","http://www.snapdeal.com/product/page/684606613218"
"Renka Black Acrylic Pullovers",1037083,"http://www.flipkart.com/item/PLOEBJ72ANG76Q2Z","http://www.snapdeal.com/product/page/686891402084"
"Renka Green Cotton Blend Pullovers",1037209,"http://www.flipkart.com/item/PLOEBJ72ACFYZBAP","http://www.snapdeal.com/product/page/348046318"
"Renka Red Cotton Blend Pullovers",1038050,"http://www.flipkart.com/item/PLOEBP4548QGHZ5W","http://www.snapdeal.com/product/page/93961226"
"Renka Blue Acrylic Buttoned Cardigans",1036594,"http://www.flipkart.com/item/CGNEB3UYG4T4ZTHG","http://www.snapdeal.com/product/page/682714500230"
"Renka Blue Cotton Blend Skivvy",657517,"http://www.flipkart.com/item/PLODZYXFQCSA6VZN","http://www.snapdeal.com/product/page/351111449"
"Renka Red Acrylic Pullovers",1036189,"http://www.flipkart.com/item/PLOEB32THPFFKVZQ","http://www.snapdeal.com/product/page/667345558820"
"Renka Red Cotton Blend Pullovers",1038051,"http://www.flipkart.com/item/PLOEBP45ZQ6PVZFF","http://www.snapdeal.com/product/page/93961226"
